pchembl_value,canonical_smiles
5.1,COc1ccccc1CNc1ncnc2ccc(-c3ccccc3C#N)cc12
5.1,COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N(C)C)n(Cc4ccccc4)c3C[C@H]2CN1C(=O)c1ccccc1
7.0,C=CCOC(=O)C(C(C)=O)C(NC(=O)OC)c1cccc(C(F)(F)F)c1
5.1,COc1ccc2c(c1O)-c1cccc3c1[C@H](C2)N(C)CC3
4.8,O=c1c(-c2cccc(F)c2)nc2cncnc2n1Cc1ccccc1
5.1,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(I)cc1
5.2,N=C(N)c1ccc(/C=C\c2ccc(C(=N)N)cc2)cc1
4.6,Cc1[nH]ccc2c1[nH]c1cc(=O)ccc12
6.2,CC(C)(C)c1cc(Br)c(O)c(CN(Cc2cc(C(C)(C)C)cc(Br)c2O)C2CCCCC2)c1
6.6,CCCCC/N=c1\ccn(Cc2ccccc2)c2ccccc12
5.3,COc1ccc(O[C@H]2C=C[C@@H](c3ccccc3)O[C@H]2COC(=O)CC/C(C)=N\O[C@@H](C)CN2CCCCc3nc(C)c(C)cc32)cc1
6.3,C/C(=N\NC(=O)c1ccncc1)c1ccc2ccccc2c1O
4.6,O=C(c1ccncc1)N1CCC2(CC1)CCN(c1cccc(-c3ccccc3)c1)CC2
5.9,COC(=O)C(C(C)=O)C(NC(=O)NCc1ccccc1)c1ccccc1
5.3,CC(=O)NNC(=O)N1Cc2ccccc2Oc2ccc(Cl)cc21
5.6,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1
7.3,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2
8.1,COC(=O)[C@@]1(Cc2ccccc2)[C@H]2c3cc(C(=O)N4CCCC4)n(CCO)c3C[C@H]2CN1C(=O)c1ccccc1
6.3,COc1cc2nc(N3CCN(C(=O)[C@@H]4COc5ccccc5O4)CC3)nc(N)c2cc1OC.CS(=O)(=O)O
6.3,CCCC[C@@H]1C[C@H]1C(NC(=O)c1ccccc1)c1ccccc1C(F)(F)F
5.4,CCOC(=O)[C@]1(C(NC(=O)OC)c2cccc(F)c2)CCCC1=O
4.4,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H](O)CC[C@H]12
5.1,O=C(O)[C@H]1CC2(C[C@H](C(=O)O)C2)C1
5.1,COc1ccccc1-c1cc(Nc2ccc(F)cc2)ncn1
4.8,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
5.4,CCCC[C@H](CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC[C@@H](CC)CCCC
6.5,O=S(=O)(c1ccccc1)N1CCC2(CCCN(Cc3ccncc3)C2)CC1
4.6,COC(=O)[C@@]1(Cc2ccc(F)cc2)[C@@H]2C(=CC(=O)[C@H]2CC(=O)C(=O)N(C)C)CN1C(=O)c1ccccc1
6.0,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@H]1c1cccc([N+](=O)[O-])c1
5.3,CS(=O)(=O)c1ccc(-c2cc(Br)sc2-c2ccc(F)cc2)cc1
4.9,CN(C)c1ccc(-c2ccc3ncnc(N(C)Cc4ccco4)c3c2)cc1
7.2,COc1ccc(O[C@H]2C=C[C@@H](c3ccccc3)O[C@H]2COC(=O)CC/C(C)=N\O[C@@H](C)c2cn([C@H](CO)Cc3ccccc3)nn2)cc1
6.3,COc1ccc(OC2C(O)COC2/C=C/C#Cc2ccc(F)cc2F)cc1
4.4,COCC(=O)N1CCC2(CC1)CCN(c1cccc(-c3ccccc3)c1)CC2
6.0,COc1ccccc1CCn1c(=O)c(-c2cccc(F)c2)nc2cncnc21
4.6,COC(=O)[C@@]1(Cc2ccc(F)cc2)[C@H]2c3cc(C(=O)N(C)C)n(Cc4c(CO)ncc(C)c4O)c3C[C@H]2CN1C(=O)c1ccccc1
5.4,O=C1[C@H]2[C@H]3[C@H](O)[C@H](O)C/C(=N/OC[C@@H](O)COCc4ccco4)[C@@H]3CC[C@@H]2C(=O)N1Cc1ccccc1
5.8,COC(c1ccccc1Br)C(C)/C=C/CCO
5.6,CN(C)c1ccc(-c2nc(-n3ccnc3)c3ccccc3n2)cc1
5.5,O=C(O)[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)c1nc2ccccc2s1
5.1,c1ccc2[nH]c(-c3cscn3)nc2c1
8.1,NCCSc1nc(-c2ccccc2)c(-c2ccccc2)o1
4.6,COc1cccc(Cn2c(=O)c(CCc3ccccc3)nc3cncnc32)c1
4.8,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1
4.6,COc1cccc(-c2nc(NCc3cccnc3)c3ccccc3n2)c1
4.4,COc1ccccc1-c1cncnc1NCCNC(C)=O
5.6,COc1ccc(CNc2ncnc3ccc(-c4cccc(NS(C)(=O)=O)c4)cc23)c(OC)c1
5.4,C[C@H]1CC[C@H]2C(=O)N[C@H](Cc3ccccc3)C(=O)N2[C@@H]1c1ccccc1
4.9,O=C(c1ccncc1)N1CCC2(CCCN(Cc3ccncc3)C2)CC1
