pchembl_value,canonical_smiles
5.55,CCC(=O)NNc1cc(O)c2c(=O)n(C)c(=O)n(C)c2n1
4.9,C=CCO/C(O)=C1\C(C)=NC(SCC(=O)OCC)=C(C#N)C1c1ccc(C)cc1
4.9,COc1cccc(Cn2c(=O)cnc3cnc(Oc4ccccc4)nc32)c1
5.5,O=c1c2ccccc2nnn1CSc1nnc(COc2ccc(Cl)cc2)n1Cc1ccco1
5.0,O=C(N[C@@H](c1ccccc1)[C@@H]1C[C@H]1C(=O)NCc1ccccc1)OCc1ccccc1
6.05,Cc1ccc2nc(NC(=O)COC(=O)CSc3nc(C)cc(C)n3)sc2c1
4.7,COCCNc1nc(-c2ccc(C(=O)N(C)C)cc2)nc2ccccc12
5.8,N=C(NC(=O)c1ccccc1F)Nc1nc2ccccc2o1
4.85,COc1cccc(C(=O)N(Cc2ccccc2)Cc2cc3cc4c(cc3nc2O)OCCO4)c1
6.6,c1ccc(-c2csc3ncn4cnnc4c23)cc1
5.4,O=C(O)CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1
5.8,CCn1c(SCC(=O)Nc2nc3ccc(C)cc3s2)nc2c(c1=O)SC(C)C2
4.4,Cc1cc(C)n(CCCNCC(O)c2ccccc2)n1.O=C(O)C(=O)O
4.85,Cc1cc(NC(=O)c2ccco2)ccc1-n1cnnn1
5.5,CC(C)(C)c1ccc(NS(=O)(=O)c2ccc(N)cc2)cc1
4.85,O=C(NCCc1ccc(O)cc1)c1ccc(Cl)cc1
5.3,CSc1cccc(NC(=O)Nc2ccc(Cl)cc2)c1
5.75,O=c1c(-c2nc3ccccc3s2)cccn1Cc1ccccc1
4.6,O=C(/C=C\c1ccc(O)c(O)c1)O[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
5.5,CC(C)C(=O)Cc1ccc2ccccc2n1
5.0,CCOC(=O)/C(C(=N)NCCCO)=C(\O)OCC
4.8,CCOC(=O)c1c(N=C(S)Nc2ccccc2)sc2c1CCN(CCc1ccccc1)C2
6.05,COc1ccc(Nc2ncnc3sc(-c4ccccc4)cc23)cc1
5.45,CCOC(=O)c1cc(-c2ccccc2)sc1N=C(S)Nc1cc(C)ccn1
5.75,COc1ccc(/C=C2\N=C(SC)N(C)C2=O)cc1
4.8,COc1cccc(Cn2c(=O)cnc3cncnc32)c1
5.3,O=C(/C=C\NCC(=O)c1ccccc1)c1ccccc1
5.7,N#CCCn1c(=O)cnc2cnc(Nc3ccccc3)nc21
4.8,CNc1ncncc1-c1ccccc1CN(C)C
5.1,CC(C)(SCc1ccccc1)[C@H](N)C(=O)O
5.0,O=C(Oc1ccccc1)N1CCC2(CC1)CN(Cc1ccncc1)C2
4.65,Oc1nc(N2CCCCCC2)nc(N2CCCCCC2)n1
5.35,CSc1nncn1/N=C/c1ccc2c(c1)OCO2
6.8,N=C(N)S[C@H]1c2ccccc2-c2cc([N+](=O)[O-])ccc21
4.7,CN(C)C(=O)c1ccc(-c2ccc3ncnc(N(C)C)c3c2)cc1
4.5,CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
5.9,CN(C)c1ccc(-c2nccc(NCCN3CCOCC3)n2)cc1
5.5,CCN(CCCNC(=O)CC(C(=O)N1CCc2ccccc21)n1ccnc1)c1ccccc1
5.6,COc1ccc(CNc2ncnc3ccc(-c4ccc(N(C)C)cc4)cc23)c(OC)c1
5.5,O=c1c(-c2ccccc2)nc2cnc(N3CCOCC3)nc2n1C1CC1
5.3,COc1ccc(-c2nc3cnc(Oc4cccc(Cl)c4)nc3n(C[C@H]3CCCO3)c2=O)cc1
5.05,COc1cccc(NC(=O)c2cc(-c3cccnc3)nc3c(Cl)cccc23)c1
5.6,Cc1cccc(C)c1OC[C@H](C)N
6.4,Cc1cnn(-c2ccc3nnc(-c4ccc(Cl)cc4)n3n2)c1
4.9,CC(=O)NCCc1cc2cc(C)c(C)cc2nc1O
4.8,CS(=O)(=O)N1CCC2(CCCN(c3ncccn3)C2)CC1
5.6,NCC(=O)Nc1ccccc1
5.15,Fc1ccc(NCc2ccccc2F)cc1Cl
6.0,O=c1c(-c2cccc(Cl)c2)nc2cncnc2n1Cc1ccccc1
5.6,CCn1c(C)c(/C=N/Nc2nc3ccccc3s2)c2ccccc21
5.05,Cc1ccnc2nc(C(=O)OCC(=O)Nc3ccc4c(c3)OC(F)(F)O4)nn12
6.3,CN(Cc1ccco1)c1cc(-c2ccc3c(c2)OCO3)ncn1
6.3,COC(=O)Nc1nc2cc(SC(C)C)ccc2[nH]1
4.8,COC(=O)[C@H](C)[C@@H]1C[C@@]1(C)[C@@H](NC(=O)OCc1ccccc1)c1ccccc1
4.8,CCn1ccnc1C[C@@H]1COc2ccccc2O1
5.5,Cn1cc(-c2nc3cnc(Oc4ccccc4)nc3n(Cc3cccs3)c2=O)c2ccccc21
7.5,C=CCO[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl
4.65,CCc1ccc(N(C(=O)c2csnn2)C(C(=O)NC(C)(C)C)c2ccncc2)cc1
4.9,c1nc(NC2CCNCC2)c2cc(-c3ccc4c(c3)OCO4)ccc2n1
5.3,CN1[C@@H](C[C@@H](O)c2ccccc2)CCC[C@@H]1C[C@H](O)c1ccccc1
4.8,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccc(N=C=S)cc2)CC1
5.3,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
5.3,COc1ncc2nc(-c3cn(C)c4ccccc34)c(=O)n(CCC#N)c2n1
4.9,COC(=O)c1cc(Br)c(=O)n(CCN2CCCC2)c1
5.3,FC(F)(F)c1cccc(NC(=S)Nc2cccc(Cl)c2)c1
5.3,CCCC[C@@H]1C[C@H]1C(NC(=O)c1ccco1)c1ccc(-c2ccccc2)cc1
